#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,http_hostname:131,ThroughputC2S,ThroughputS2C
172.16.2.1,38610,15,0,14,3,15154,10,15154,0,0,0,1,1,172.16.1.1,50972,11,0,11,7,1906,2,1906,0,0,0,1,1,1548287390695.885,1548287390936.9858,241.101,28.186,55.202,165.498,87.425,27.472,54.569,1,1,0,0,8192,0,0,31.507231,26.171,63.114,12.818283000000001,8,64,64,0.10549700000000001,0.007,0.395,0.19300699999999998,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,2896,17,33024,29200,0,8160,1,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,59904,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,7,2,-,-,0,0,0,57.905,87.425,87.82,0.0,1713,0,-,-,0.0,0.0,-,62.85332702892149,7.905400641225047
172.16.2.1,38612,10,0,9,3,1784,5,1784,0,0,0,1,1,172.16.1.1,50972,8,0,8,4,1906,2,1906,0,0,0,1,1,1548287390696.5288,1548287390936.9983,240.469,28.28,56.043,164.864,93.538,27.687,56.011,1,1,0,0,8192,0,0,34.233596,26.247,66.244,15.766607,6,64,64,0.131247,0.003,0.472,0.227733,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,1369,17,33024,29200,0,1369,1,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,33024,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,5,2,-,-,0,0,0,62.641,93.538,94.01,0.0,1713,0,-,-,0.0,0.0,-,7.418835691918709,7.926177594617186
172.16.2.1,38614,10,0,9,3,1784,5,1784,0,0,0,1,1,172.16.1.1,50972,8,0,8,4,1906,2,1906,0,0,0,1,1,1548287390696.5823,1548287390937.002,240.42,28.236,55.996,164.819,93.445,27.649,55.949,1,1,0,0,8192,0,0,34.224263,26.324,66.223,15.757176999999999,6,64,64,0.139247,0.003,0.543,0.26916999999999996,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,1369,17,33024,29200,0,1369,1,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,33024,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,5,2,-,-,0,0,0,62.616,93.445,93.988,0.0,1713,0,-,-,0.0,0.0,-,7.420347724814907,7.927793028866152
172.16.2.1,38616,10,0,9,3,1784,5,1784,0,0,0,1,1,172.16.1.1,50972,8,0,8,4,1906,2,1906,0,0,0,1,1,1548287390696.6277,1548287391155.477,458.849,27.453,55.915,164.832,95.332,26.705,53.818,1,1,0,0,8192,0,0,34.069099,26.237,65.998,15.84648,6,64,64,0.081248,0.007,0.256,0.11739200000000001,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,1369,17,33024,29200,0,1369,17,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,33024,28960,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,5,2,-,-,0,0,0,62.576,95.332,95.588,0.0,1713,0,-,-,0.0,0.0,-,3.887989294953242,4.153871970953407
172.16.2.1,45062,16,0,15,3,21862,11,21862,0,0,0,1,1,172.16.1.1,50475,9,0,9,5,1906,2,1906,0,0,0,1,1,1548287399783.2888,1548287399976.596,193.307,26.942,53.959,117.801,90.947,26.122,53.033,1,1,0,0,8192,0,0,26.940044,26.015,31.619,2.074231,7,64,64,0.137747,0.005,0.503,0.243912,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,2896,38,33024,29200,0,17216,1,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,73216,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,59.328,90.947,91.45,0.0,1713,0,-,-,0.0,0.0,-,113.09471462492306,9.859963684708779
172.16.2.1,45060,9,0,8,3,1767,4,1767,0,0,0,1,1,172.16.1.1,50475,7,0,7,3,1906,2,1906,0,0,0,1,1,1548287399783.2307,1548287399976.608,193.377,27.549,54.858,96.339,95.738,26.395,54.071,1,1,0,0,8192,0,0,27.679646,26.374,32.297,2.587008,5,64,64,0.141996,0.005,0.546,0.269354,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,1369,17,33024,29200,0,1369,1,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,33024,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,63.441,95.738,96.284,0.0,1713,0,-,-,0.0,0.0,-,9.137591337129027,9.856394503999958
172.16.2.1,45064,9,0,8,3,1767,4,1767,0,0,0,1,1,172.16.1.1,50475,7,0,7,3,1906,2,1906,0,0,0,1,1,1548287399783.34,1548287399976.654,193.314,27.442,54.761,96.246,95.659,26.268,53.904,1,1,0,0,8192,0,0,27.669646999999998,26.246,32.308,2.609081,5,64,64,0.143246,0.003,0.537,0.26261599999999996,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,1369,17,33024,29200,0,1369,1,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,33024,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,63.351,95.659,96.196,0.0,1713,0,-,-,0.0,0.0,-,9.140569229336727,9.859606650320204
172.16.2.1,45058,9,0,8,3,1767,4,1767,0,0,0,1,1,172.16.1.1,50475,7,0,7,3,1906,2,1906,0,0,0,1,1,1548287399782.955,1548287399976.7937,193.839,27.255,54.411,96.669,91.541,26.485,53.575,1,1,0,0,8192,0,0,27.659046999999997,26.32,31.904,2.382612,5,64,64,0.136997,0.004,0.531,0.26267199999999996,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,1369,17,33024,29200,0,1369,1,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,33024,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,59.637,91.541,92.072,0.0,1713,0,-,-,0.0,0.0,-,9.115812607370033,9.83290256346762
172.16.2.1,49962,15817,0,15816,3,46261006,15813,46291414,21,30408,313,1,0,172.16.1.1,50682,6004,1,6003,5999,1906,2,1906,0,0,0,1,1,1548287394830.738,1548287453530.882,58700.144,26.358,53.626,58673.443,87.215,25.813,52.96,1,1,0,0,8192,0,0,26.698949,25.792,152.472,5.655286,3467,64,64,0.08999800000000001,0.007,0.315,0.150116,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,31856,38,33024,29200,0,647256,38,343,84,143,0,0,107,0,0,0,0,1,1,8,1,1596,1460,1018,888,1772544,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,13,2,-,-,0,0,0,57.819,87.215,87.53,0.0,1713,0,-,-,0.0,0.0,-,788.6081846749813,0.03247010773942906
172.16.2.1,49956,13700,0,13699,3,37866950,13696,37891566,17,24616,295,1,0,172.16.1.1,50682,4574,1,4573,4569,1906,2,1906,0,0,0,1,1,1548287394830.27,1548287453530.8838,58700.614,26.445,53.099,58673.926,85.434,25.983,52.976,1,1,0,0,8192,0,0,26.954019,25.833,156.982,6.273364,2842,64,64,0.134497,0.011,0.477,0.22843000000000002,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,17376,38,33024,29200,0,411232,38,343,101,102,0,0,108,0,1,0,0,1,1,8,1,979,1460,1018,888,1430784,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,13,2,-,-,0,0,0,56.155,85.434,85.911,0.0,1713,0,-,-,0.0,0.0,-,645.5054456500234,0.032469847760025136
