#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,http_hostname:131,ThroughputC2S,ThroughputS2C
172.16.2.1,59080,16,0,15,3,15154,11,15154,0,0,2,1,1,172.16.1.1,50890,11,0,11,7,1906,2,1906,0,0,0,1,1,1548443369028.95,1548443369752.1665,723.217,28.301,55.413,650.76,88.222,27.637,55.092,1,1,0,0,8192,0,0,27.071787,26.349,29.919,1.218893,8,64,64,0.102747,0.006,0.327,0.150316,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,2896,17,33024,29200,0,8143,1,343,0,0,2,0,0,0,0,0,0,1,1,8,1,1,1460,1018,888,59904,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,7,2,-,-,0,0,0,58.303,88.222,88.549,0.0,1713,0,-,-,0.0,0.0,-,20.953600371672678,2.63544689906349
172.16.2.1,59074,10,0,9,3,1784,5,1784,0,0,0,1,1,172.16.1.1,50890,8,0,8,4,1906,2,1906,0,0,0,1,1,1548443369028.69,1548443369752.179,723.489,28.528,56.019,397.956,327.805,27.921,55.343,1,1,0,0,8192,0,0,72.88428499999999,26.51,263.698,94.756438,6,64,64,0.075748,0.008,0.273,0.13151,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,1369,17,33024,29200,0,1369,1,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,33024,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,5,2,-,-,0,0,0,64.107,327.805,328.078,0.0,1713,0,-,-,0.0,0.0,-,2.4658287824693947,2.6344560871001494
172.16.2.1,59076,10,0,9,3,1784,5,1784,0,0,0,1,1,172.16.1.1,50890,9,0,9,5,1906,2,1906,0,0,0,1,1,1548443369028.833,1548443369752.391,723.558,28.907,56.918,397.825,102.431,27.874,55.758,1,1,0,0,8192,0,0,34.014086,26.572,64.959,14.308345999999998,7,64,64,0.135497,0.004,0.514,0.252367,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,1369,17,33024,29200,0,1369,1,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,33024,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,5,2,-,-,0,0,0,63.994,102.431,102.945,0.0,1713,0,-,-,0.0,0.0,-,2.465593635893736,2.6342048598730163
172.16.2.1,59078,9,0,8,2,1784,5,1784,0,0,0,1,1,172.16.1.1,50890,9,0,9,5,1906,2,1906,0,0,0,1,1,1548443369028.8943,1548443369752.402,723.508,28.871,56.924,397.813,102.348,27.842,55.717,1,1,0,0,8192,0,0,34.009085999999996,26.53,64.938,14.297274,7,64,64,1.8982029999999999,0.003,7.02,3.424726,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,1369,17,33024,29200,0,1369,1,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,33024,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,5,2,-,-,0,0,0,63.944,102.348,102.913,0.0,1713,0,-,-,0.0,0.0,-,2.465764027488293,2.6343869038075596
172.16.2.1,46506,10,0,9,3,1784,5,1784,0,0,0,1,1,172.16.1.1,50953,8,0,8,4,1906,2,1906,0,0,0,1,1,1548443375746.989,1548443376210.728,463.739,27.059,54.825,389.973,317.581,26.112,53.22,1,1,0,0,8192,0,0,32.821785999999996,26.083,63.366,15.002138,6,64,64,0.103247,0.004,0.369,0.177479,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,1369,17,33024,29200,0,1369,1,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,33024,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,5,2,-,-,0,0,0,288.716,317.581,317.95,0.0,1713,0,-,-,0.0,0.0,-,3.8469915189362984,4.110070535365798
172.16.2.1,46510,10,0,9,3,1784,5,1784,0,0,0,1,1,172.16.1.1,50953,9,0,9,5,1906,2,1906,0,0,0,1,1,1548443375747.1,1548443376210.944,463.844,26.958,54.701,389.825,92.761,26.031,53.096,1,1,0,0,8192,0,0,32.297539,26.014,64.225,14.167989000000002,7,64,64,0.110997,0.006,0.411,0.200052,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,1369,17,33024,29200,0,1369,1,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,33024,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,5,2,-,-,0,0,0,62.273,92.761,93.172,0.0,1713,0,-,-,0.0,0.0,-,3.8461206785039797,4.109140141944274
172.16.2.1,46508,10,0,9,3,1784,5,1784,0,0,0,1,1,172.16.1.1,50953,8,0,8,4,1906,2,1906,0,0,0,1,1,1548443375747.046,1548443376211.181,464.135,27.272,54.967,389.868,93.058,26.317,53.624,1,1,0,0,8192,0,0,33.363444,26.302,63.678,14.951514000000001,6,64,64,0.116747,0.004,0.434,0.211558,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,1369,17,33024,29200,0,1369,1,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,33024,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,5,2,-,-,0,0,0,62.298,93.058,93.492,0.0,1713,0,-,-,0.0,0.0,-,3.8437092656231484,4.1065638230256285
172.16.2.1,46504,14,0,13,3,12026,9,12026,0,0,0,1,1,172.16.1.1,50953,10,0,10,6,1906,2,1906,0,0,0,1,1,1548443375746.7642,1548443376211.192,464.428,27.256,54.273,390.139,86.7,26.375,53.674,1,1,0,0,8192,0,0,31.480731,26.345,63.444,12.964369,8,64,64,0.093498,0.004,0.348,0.169769,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,2896,17,33024,29200,0,5367,1,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,53504,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,7,2,-,-,0,0,0,57.024,86.7,87.048,0.0,1713,0,-,-,0.0,0.0,-,25.894218264187344,4.103973059333201
172.16.2.1,38976,10,0,9,3,1784,5,1784,0,0,0,1,1,172.16.1.1,50801,8,0,8,4,1906,2,1906,0,0,0,1,1,1548443375689.022,1548443376397.246,708.224,27.429,275.468,410.231,305.995,26.537,53.905,1,1,0,0,8192,0,0,33.251279,26.264,65.265,15.708820999999999,6,64,64,0.130997,0.014,0.46,0.219547,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,1369,17,33024,29200,0,1369,1,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,33024,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,5,2,-,-,0,0,0,277.361,305.995,306.455,0.0,1713,0,-,-,0.0,0.0,-,2.5189770468100487,2.691238930056027
172.16.2.1,38974,26,0,25,3,34066,21,34083,1,17,3,1,1,172.16.1.1,50801,13,0,13,9,1906,2,1906,0,0,0,1,1,1548443375688.9587,1548443376397.266,708.307,26.968,54.28,662.729,86.764,26.261,53.306,1,1,0,0,8192,0,0,26.792386999999998,26.035,29.474,1.319508,6,64,64,0.100497,0.017,0.346,0.163684,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,2896,17,33024,29200,0,14480,1,343,2,0,0,0,2,0,0,0,0,1,1,8,1,3,1460,1018,888,102400,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,6,2,-,-,0,0,0,57.29,86.764,87.11,0.0,1713,0,-,-,0.0,0.0,-,48.11896536388882,2.6909235684526625
