#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,http_hostname:131,ThroughputC2S,ThroughputS2C
172.16.1.1,1424,23,0,22,3,168833,18,168833,0,0,0,1,1,172.16.2.1,50293,21,0,21,17,1906,2,1906,0,0,0,1,1,1548388442331.0876,1548388444148.5093,1817.421,27.533,28.489,1464.321,68.715,26.414,27.567,1,1,0,0,8192,0,0,2.250409,0.003,36.547,8.416485,19,63,63,26.701332,26.4,27.361,0.44668900000000006,4,64,64,0,0,0,0,0,0,1,1,8,1,0,1460,20272,17,33024,29200,0,20272,1,343,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1018,888,225920,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,8,2,-,-,0,0,0,62.748,68.715,96.076,0.0,1713,0,-,-,0.0,0.0,-,92.89702275917358,1.0487388447695938
172.16.1.1,39920,34,0,33,3,263148,29,263148,0,0,2,1,1,172.16.2.1,50974,30,0,30,26,1906,2,1906,0,0,0,1,1,1548388443996.7878,1548388446157.322,2160.534,27.004,27.48,1923.291,63.887,26.373,27.011,1,1,0,0,8192,0,0,1.686618,0.004,38.077,7.76319,24,63,63,26.435589,26.27,26.694,0.18268399999999999,4,64,64,0,0,0,0,0,0,1,1,8,1,0,1460,21720,17,33024,29200,0,30408,17,343,0,0,0,0,2,0,0,0,0,1,1,7,1,4,1460,1018,888,225920,28960,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,9,2,-,-,0,0,0,61.753,63.887,90.581,0.0,1713,0,-,-,0.0,0.0,-,121.79766668795769,0.8821893106056188
172.16.1.1,39914,49,0,48,3,263962,44,263962,0,0,3,1,1,172.16.2.1,50974,43,0,43,39,1906,2,1906,0,0,0,1,1,1548388443996.339,1548388446157.333,2160.994,26.878,27.488,1790.82,59.421,26.486,26.886,1,1,0,0,8192,0,0,0.089914,0.004,2.743,0.461664,35,63,63,26.428339,26.244,26.635,0.165938,4,64,64,0,0,0,0,0,0,1,1,8,1,0,1460,14480,17,33024,29200,0,15928,17,343,0,0,0,0,3,0,0,0,0,1,1,7,1,4,1460,1018,888,185856,28960,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,8,2,-,-,0,0,0,56.678,59.421,86.056,0.0,1713,0,-,-,0.0,0.0,-,122.1484187369331,0.8820015233730403
172.16.1.1,39918,39,0,38,3,147698,34,149184,2,1486,4,1,1,172.16.2.1,50974,36,0,36,32,1906,2,1906,0,0,0,1,1,1548388443997.045,1548388446157.523,2160.478,27.255,27.889,2109.742,289.602,26.439,27.261,1,1,0,0,8192,0,0,0.111749,0.006,2.012,0.44731899999999997,20,63,63,26.568835999999997,26.342,26.76,0.216466,4,64,64,0,0,0,0,0,0,1,1,8,1,0,1460,14480,17,33024,29200,0,24616,17,343,1,2,1,0,2,0,0,0,0,1,1,7,1,12,1460,1018,888,185856,28960,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,8,2,-,-,0,0,0,287.59,289.602,316.351,0.0,1713,0,-,-,0.0,0.0,-,69.05138585072378,0.8822121771200632
172.16.1.1,39916,11,0,10,3,1801,6,1801,0,0,0,1,1,172.16.2.1,50974,10,0,10,6,1906,2,1906,0,0,0,1,1,1548388443996.8123,1548388446382.294,2385.482,27.194,27.821,1790.585,65.83,26.532,27.2,1,1,0,0,8192,0,0,5.295934,0.004,38.335,13.421902,8,63,63,26.525586999999998,26.261,26.744,0.201008,4,64,64,0,0,0,0,0,0,1,1,8,1,0,1460,1369,17,33024,29200,0,1369,17,343,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1018,888,32896,28960,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,6,2,-,-,0,0,0,61.85,65.83,92.574,0.0,1713,0,-,-,0.0,0.0,-,0.7549836888310203,0.7989999505341059
172.16.1.1,47648,12,0,10,4,1784,5,1784,1,0,0,2,1,172.16.2.1,50140,8,0,8,4,1906,2,1906,0,0,0,1,1,1548388444432.521,1548388446441.185,2008.664,1026.452,1026.894,1518.663,1057.719,1026.089,1026.487,1,1,0,0,8192,0,0,172.98245,0.009,999.185,405.009839,6,63,63,26.79133,26.489,27.138,0.287573,4,64,64,0,0,0,0,0,0,1,1,8,1,0,1460,1369,17,7475200,29200,0,1369,1,343,0,0,0,0,0,0,1,0,0,1,1,7,1,0,1460,1018,888,32896,28960,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,5,2,-,-,0,0,0,1055.625,1057.719,1084.857,0.0,1713,0,-,-,0.0,0.0,-,0.8881525232691978,0.9488894110712394
172.16.1.1,47646,11,0,10,3,3833,6,3833,0,0,0,1,1,172.16.2.1,50140,9,0,9,5,1906,2,1906,0,0,0,1,1,1548388444432.472,1548388446441.196,2008.724,26.951,27.613,1272.126,64.265,26.635,26.961,1,1,0,0,8192,0,0,5.88063,0.003,37.1,13.847042000000002,7,63,63,26.629584,26.348,27.025,0.28560399999999997,4,64,64,0,0,0,0,0,0,1,1,8,1,0,1460,2049,17,33024,29200,0,2087,17,343,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1018,888,36992,28960,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,6,2,-,-,0,0,0,60.251,64.265,91.29,0.0,1713,0,-,-,0.0,0.0,-,1.9081765339588714,0.9488610680212911
172.16.1.1,47650,40,0,39,2,148267,36,148267,0,0,4,1,1,172.16.2.1,50140,39,0,39,35,1906,2,1906,0,0,0,1,1,1548388444432.7427,1548388446441.2007,2008.458,27.029,27.729,1960.106,64.023,27.029,27.048,1,1,0,0,8192,0,0,1.70007,0.005,39.905,7.83178,26,63,63,26.743831,26.423,27.036,0.327311,4,64,64,0,0,0,0,0,0,1,1,8,1,0,1460,11584,17,33024,29200,0,18824,17,343,0,1,0,0,3,0,0,0,0,1,1,7,1,9,1460,1018,888,185856,28960,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,7,2,-,-,0,0,0,60.004,64.023,91.059,0.0,1713,0,-,-,0.0,0.0,-,73.82130968135753,0.9489867350972736
172.16.1.1,47644,36,0,35,3,263945,31,264035,1,90,3,1,1,172.16.2.1,50140,29,0,29,25,1906,2,1906,0,0,0,1,1,1548388444432.151,1548388446441.4568,2009.306,26.984,27.547,1272.414,59.579,26.586,27.003,1,1,0,0,8192,0,0,0.13556500000000002,0.003,2.786,0.577878,23,63,63,26.579335999999998,26.431,26.772,0.141974,4,64,64,0,0,0,0,0,0,1,1,8,1,0,1460,15928,17,33024,29200,0,23168,17,343,1,0,0,0,3,0,0,0,0,1,1,7,1,3,1460,1018,888,185856,28960,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,7,2,-,-,0,0,0,56.793,59.579,86.351,0.0,1713,0,-,-,0.0,0.0,-,131.40606756760792,0.948586228279814
172.16.2.1,48224,15,0,14,3,15154,10,15154,0,0,0,1,1,172.16.1.1,50008,10,0,10,6,1906,2,1906,0,0,0,1,1,1548396596106.8328,1548396596377.5388,270.706,27.536,54.596,198.807,87.077,27.172,53.878,1,1,0,0,8192,0,0,32.249596999999994,26.268,66.28,13.826134,8,64,64,0.102747,0.004,0.342,0.160215,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,2896,17,33024,29200,0,8160,1,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,59904,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,7,2,-,-,0,0,0,57.411,87.077,87.419,0.0,1713,0,-,-,0.0,0.0,-,55.97954976986102,7.040848743655478
