#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,http_hostname:131,ThroughputC2S,ThroughputS2C
172.16.2.1,53390,8095,0,8094,18,81957311,8075,82235327,192,278016,6782,1,1,172.16.1.1,50176,11657,0,11657,11653,1906,2,1906,0,0,0,1,1,1548224321622.6667,1548224330277.95,8655.283,38.132,77.046,8503.311,129.14,37.311,75.089,1,1,0,0,8192,0,0,32.990157,26.152,184.158,12.385087,253,64,64,6.843578999999999,0.788,10.339,4.453229,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,37648,38,33024,29200,0,1319128,1,343,107,294,6466,0,106,0,0,1,0,1,1,8,1,10795,1460,1018,888,3145728,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,27,2,-,-,0,0,0,83.256,129.14,129.928,0.0,1713,0,-,-,0.0,0.0,-,9501.171365511676,0.22021232581303235
172.16.2.1,52218,9,0,8,3,1767,4,1767,0,0,0,1,1,172.16.1.1,50728,7,0,7,3,1906,2,1906,0,0,0,1,1,1548224336864.767,1548224337116.1887,251.422,46.565,83.173,138.384,127.727,38.184,74.726,1,1,0,0,8192,0,0,33.679926,26.966,40.756,5.894857,5,64,64,2.7591810000000003,1.619,5.344,1.735752,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,1369,17,33024,29200,0,1369,1,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,33024,28960,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,86.971,127.727,129.68,0.0,1713,0,-,-,0.0,0.0,-,7.028024596097398,7.580879954817001
172.16.2.1,52216,10,0,9,4,1767,4,1767,0,0,1,1,1,172.16.1.1,50728,8,0,8,4,1906,2,1906,0,0,0,1,1,1548224336864.768,1548224337123.895,259.127,38.158,67.287,123.912,121.505,38.158,67.287,1,1,0,0,8192,0,0,34.78888,29.129,41.115,5.10919,4,64,64,2.505937,0.516,5.147,1.935759,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,1369,17,33024,29200,0,1369,1,343,0,0,1,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,35584,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,3,2,-,-,0,0,0,123.903,121.505,123.912,0.0,1730,0,-,-,0.0,0.0,-,6.819050118281769,7.3554666244737135
172.16.2.1,52222,10,0,9,4,1767,4,1767,0,0,0,1,1,172.16.1.1,50728,7,0,7,3,1906,2,1906,0,0,0,1,1,1548224336869.1548,1548224337124.2,255.045,42.678,70.373,134.007,123.471,33.791,70.373,1,1,0,0,8192,0,0,32.414352,27.695,40.869,5.256333000000001,5,64,64,6.1900949999999995,1.875,10.534,4.736546,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,1369,17,33024,29200,0,1369,1,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,33024,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,82.602,123.471,134.005,0.0,1713,0,-,-,0.0,0.0,-,6.928189143092395,7.473191005508832
172.16.2.1,52220,16,0,15,4,18966,10,18966,0,0,5,1,1,172.16.1.1,50728,11,0,11,7,1906,2,1906,0,0,0,1,1,1548224336864.766,1548224337127.4707,262.705,29.91,72.415,171.025,119.106,29.91,66.998,1,1,0,0,8192,0,0,34.033371,26.748,41.972,5.5129209999999995,7,64,64,4.178146,1.834,5.303,1.5825799999999999,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,2896,38,33024,29200,0,18862,1,343,0,0,5,0,0,0,0,0,0,1,1,8,1,2,1460,1018,888,73472,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,123.963,119.106,129.688,0.0,14745,0,-,-,0.0,0.0,-,72.19504767705222,7.255286347804572
172.16.2.1,54260,19845,0,19844,41,182147918,19802,183013822,598,865904,16715,1,1,172.16.1.1,50438,27664,0,27664,27660,1906,2,1906,0,0,0,1,1,1548224317049.0723,1548224338869.8127,21820.741,27.095,64.247,21738.025,106.75,26.739,53.809,1,1,0,0,8192,0,0,32.534813,26.101,248.34,11.568972,569,64,64,1.4957129999999998,0.025,5.591,2.734101,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,34752,38,33024,29200,0,1398768,1,343,65,1474,15513,0,258,0,0,3,0,1,1,8,1,24739,1460,1018,888,3145728,28960,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,37,2,-,-,0,0,0,66.872,106.75,107.088,0.0,1713,0,-,-,0.0,0.0,-,8387.14973061639,0.08734808776658867
172.16.2.1,54264,19750,0,19749,40,203758686,19708,204814278,729,1055592,16615,1,1,172.16.1.1,50438,28781,0,28781,28777,1906,2,1906,0,0,0,1,1,1548224317049.587,1548224338870.7847,21821.198,46.814,83.573,21657.638,140.306,46.814,73.611,1,1,0,0,8192,0,0,32.062005,26.114,71.222,5.097005,556,64,64,5.050374,0.005,10.079,4.155437999999999,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,37648,38,33024,29200,0,1388632,1,343,80,1392,15665,0,201,0,0,6,0,1,1,8,1,25699,1460,1018,888,3145728,20224,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,22,2,-,-,0,0,0,144.661,140.306,144.662,0.0,14745,0,-,-,0.0,0.0,-,9386.023535463084,0.08734625844098935
172.16.2.1,54266,20438,0,20437,40,180836774,20396,181350814,355,514040,17328,1,1,172.16.1.1,50438,26138,0,26138,26134,1906,2,1906,0,0,0,1,1,1548224317049.643,1548224338870.825,21821.182,47.004,83.321,21691.0,134.195,36.379,83.321,1,1,0,0,8192,0,0,32.558151,25.839,255.017,12.122211,672,64,64,4.1196470000000005,0.005,10.419,5.066746,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,37648,38,33024,29200,0,1406008,1,343,0,1208,16301,0,171,0,1,2,0,1,1,8,1,23255,1460,1018,888,2843648,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,21,2,-,-,0,0,0,144.616,134.195,144.642,0.0,14745,0,-,-,0.0,0.0,-,8310.769508269534,0.08734632248610547
172.16.2.1,54262,20956,0,20955,40,182971418,20914,183973434,692,1002016,17646,1,1,172.16.1.1,50438,27254,0,27254,27250,1906,2,1906,0,0,0,1,1,1548224317049.525,1548224338874.028,21824.503,47.101,84.516,21655.556,140.124,36.483,83.591,1,1,0,0,8192,0,0,32.39328,25.855,161.845,8.159471,563,64,64,6.177346,0.038,10.035,4.82826,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,44888,38,33024,29200,0,1406008,1,343,30,1497,16541,0,256,0,1,13,0,1,1,8,1,24464,1460,1018,888,3145728,28960,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,28,2,-,-,0,0,0,144.729,140.124,144.731,0.0,14745,0,-,-,0.0,0.0,-,8429.673472976681,0.08733303113477543
172.16.2.1,48088,12,0,11,3,7113,7,7113,0,0,3,1,1,172.16.1.1,50671,11,0,11,7,1906,2,1906,0,0,0,1,1,1548224341155.296,1548224341471.933,316.637,47.774,88.141,231.995,129.534,47.067,82.335,1,1,0,0,8192,0,0,34.275914,26.892,37.308,4.249782,5,64,64,8.352791,4.085,10.471,2.942577,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,2896,17,33024,29200,0,5384,17,343,0,0,3,0,0,0,0,0,0,1,1,8,1,3,1460,1018,888,46336,28960,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,139.658,129.534,139.829,0.0,7059,0,-,-,0.0,0.0,-,22.464209804918568,6.019511301585096
