#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,DeclaredThroughput,Actualthroughput
192.168.100.1,43624,130196,0,130195,343,1050873615,129851,1051588928,185,715313,0,1,1,192.168.101.1,22,83735,0,83735,74601,333748,9132,333748,0,0,13,1,1,1.56529E+12,1.56529E+12,136363.275,32.918,69.909,136328.227,136327.592,32.619,63.614,1,1,0,0,0,0,0,30.50347,29.994,74.426,0.51338,37984,64,64,3.379454,0.003,46.607,5.940448,8778,63,63,0,0,0,0,0,0,1,1,7,1,432,1460,57920,12,64256,64000,0,1442528,16,32,0,94,0,0,91,0,0,0,0,1,1,7,1,706,1460,1080,28,3145728,64128,0,1080,28,32,0,13,0,0,0,0,0,0,0,0,0,---,52,9119,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,155.0563513,61.6933806
192.168.100.1,43802,176159,0,176158,110,1134339707,176047,1135396532,295,1056825,0,1,1,192.168.101.1,22,104462,0,104462,95193,342712,9267,342712,0,0,9,1,1,1.56529E+12,1.56529E+12,178516.979,32.368,69.924,178483.835,178483.215,32.057,63.1,1,1,0,0,0,0,0,30.86218,29.987,71.982,1.019919,53226,64,64,3.889755,0.003,47.172,6.303185,9137,63,63,0,0,0,0,0,0,1,1,7,1,289,1460,27512,16,64256,64128,0,851424,16,32,0,147,0,0,148,0,0,0,0,1,1,7,1,960,1460,3384,28,2962176,44416,0,3384,28,32,1,8,0,0,0,0,0,0,0,0,0,---,49,9258,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,94.62632325,50.88127923
192.168.100.1,44034,212177,0,212176,162,1130744299,212013,1132037304,395,1293005,0,1,1,192.168.101.1,22,99949,0,99949,90122,359848,9825,359848,0,0,15,1,1,1.56529E+12,1.56529E+12,210417.763,33.189,70.37,210383.97,210383.415,32.866,63.796,1,1,0,0,0,0,0,31.139331,30.029,74.993,1.416995,58662,64,64,4.034602,0.003,47.702,7.265764,9642,63,63,0,0,0,0,0,0,1,1,7,1,480,1460,49232,16,64256,64128,0,1492888,16,32,0,116,0,0,279,0,0,0,0,1,1,7,1,1170,1460,1100,28,3145728,64128,0,1136,28,32,1,14,0,0,0,0,0,0,0,0,0,---,62,9810,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,159.2562506,43.03960988
192.168.100.1,44276,186532,0,186531,70,1079135408,186460,1080396616,369,1261208,0,1,1,192.168.101.1,22,95719,0,95719,87487,305416,8230,305416,0,0,11,1,1,1.56529E+12,1.56529E+12,188129.355,32.603,69.313,188095.038,188093.641,32.3,62.843,1,1,0,0,0,0,0,30.712267,30.002,74.665,0.69346,52368,64,64,4.370376,0.003,47.731,5.973368,8148,63,63,0,0,0,0,0,0,1,1,7,1,343,1460,21720,16,64256,64128,0,731240,16,32,0,114,0,0,255,0,0,0,0,1,1,7,1,971,1460,3312,28,3145728,64128,0,3312,28,32,1,10,0,0,0,0,0,0,0,0,0,---,37,8219,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,78.34889172,45.94271281
192.168.100.1,44494,163159,0,163158,124,1095931848,163033,1097088800,280,1156952,0,1,1,192.168.101.1,22,87826,0,87826,79466,307792,8358,307792,0,0,11,1,1,1.56529E+12,1.56529E+12,165213.929,32.702,70.574,165180.293,165164.079,32.36,63.264,1,1,0,0,0,0,0,30.644637,30.022,75.954,0.524827,43778,64,64,5.012981,0.003,44.966,7.102161,8209,63,63,0,0,0,0,0,0,1,1,7,1,347,1460,23168,16,64256,64128,0,661736,16,32,0,106,0,0,174,0,0,0,0,1,1,7,1,740,1460,1100,28,1687424,64128,0,1136,28,32,0,11,0,0,0,0,0,0,0,0,0,---,59,8347,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,69.69860705,53.12330778
192.168.100.1,44686,185049,0,185048,86,1226093764,184961,1227370900,322,1277136,0,1,1,192.168.101.1,22,99756,0,99756,90405,343216,9349,343216,0,0,7,1,1,1.56529E+12,1.56529E+12,188419.182,34.143,71.255,188383.05,188382.275,33.836,64.893,1,1,0,0,0,0,0,30.64454,30.024,74.002,0.594325,48954,64,64,4.991277,0.003,46.37,7.076809,9235,63,63,0,0,0,0,0,0,1,1,7,1,243,1460,20272,16,64256,63232,0,618296,16,32,0,153,0,0,169,0,0,0,0,1,1,7,1,851,1460,1100,28,1782400,64128,0,1136,28,32,1,6,0,0,0,0,0,0,0,0,0,---,39,9342,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,66.8410043,52.11235446
192.168.100.1,44882,170007,0,170006,87,1129520263,169918,1130607712,279,1087449,0,1,1,192.168.101.1,22,87928,0,87928,79313,316936,8613,316936,0,0,5,1,1,1.56529E+12,1.56529E+12,172718.63,32.319,69.596,172685.358,172684.824,31.997,62.768,1,1,0,0,0,0,0,30.584642,30.02,74.732,0.476405,43701,64,64,5.308176,0.003,44.105,7.329891,8504,63,63,0,0,0,0,0,0,1,1,7,1,150,1460,21720,16,64256,64128,0,653048,16,32,0,117,0,0,162,0,0,0,0,1,1,7,1,745,1460,1100,28,2551040,64128,0,1100,28,32,0,5,0,0,0,0,0,0,0,0,0,---,48,8608,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,69.90825884,52.36760908
192.168.100.1,45076,183781,0,183780,322,1092912077,183457,1094335464,400,1423387,0,1,1,192.168.101.1,22,83875,0,83875,74390,348328,9483,348328,0,0,9,1,1,1.56529E+12,1.56529E+12,184842.292,32.705,69.604,184808.405,184807.681,32.368,63.148,1,1,0,0,0,0,0,30.511562,30.017,73.989,0.380983,48533,64,64,4.798086,0.003,47.008,8.048072,9147,63,63,0,0,0,0,0,0,1,1,7,1,286,1460,65160,16,64256,64000,0,2043840,16,32,0,123,0,0,277,0,0,0,0,1,1,7,1,981,1460,1100,28,3145728,64128,0,1136,28,32,1,8,0,0,0,0,0,0,0,0,0,---,99,9474,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,220.9885253,47.36299046
192.168.100.1,45292,150132,0,150131,534,1084504283,149596,1085522228,256,1017945,0,1,1,192.168.101.1,22,76278,0,76278,66842,344764,9434,344764,0,0,6,1,1,1.56529E+12,1.56529E+12,150291.056,32.842,69.661,150255.888,150255.215,32.543,63.32,1,1,0,0,0,0,0,30.5353,30.028,75.137,0.437345,35221,64,64,4.954656,0.003,44.238,8.306515,8879,63,63,0,0,0,0,0,0,1,1,7,1,205,1460,43440,12,64256,64128,0,1303200,16,32,0,121,0,0,135,0,0,0,0,1,1,7,1,649,1460,1100,28,3145728,64128,0,1100,28,32,0,6,0,0,0,0,0,0,0,0,0,---,37,9428,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,138.7545417,57.7823994
192.168.100.1,45464,141336,0,141335,400,1067689388,140934,1068815728,268,1126340,0,1,1,192.168.101.1,22,77491,0,77491,68212,338428,9277,338428,0,0,15,1,1,1.56529E+12,1.56529E+12,147102.139,32.261,312.477,147068.049,147067.504,31.974,71.451,1,1,0,0,0,0,0,30.484888,29.989,73.014,0.426121,36676,64,64,5.061206,0.004,44.792,7.767002,8846,63,63,0,0,0,0,0,0,1,1,7,1,436,1460,56472,12,64256,64128,0,1425644,16,32,0,156,0,0,112,0,0,0,0,1,1,7,1,769,1460,1080,28,3145728,64128,0,1112,28,1112,1,14,0,0,0,0,0,0,0,0,0,---,78,9262,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,156.2050018,58.12645473
