#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,DeclaredThroughput,Actualthroughput
192.168.100.1,34734,19078,0,19077,60,1080306127,19016,1080306128,1,1,0,1,1,192.168.101.1,22,45248,0,45248,35855,347140,9391,347140,0,0,0,1,1,1.57E+12,1.57E+12,91180.193,33.092,70.863,91146.251,91139.18,32.79,63.537,1,1,0,0,0,0,0,30.849017,30.066,74.527,1.169408,4095,64,64,11.747625,0.005,44.699,2.646424,9327,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,65160,16,64256,64128,0,2101760,16,32,0,0,0,0,1,0,0,0,0,1,1,7,1,0,1460,3132,28,3145728,64128,0,3132,28,32,0,0,0,0,0,0,0,0,0,0,0,---,2913,9391,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,225.6105841,94.78428088
192.168.100.1,34832,19211,0,19210,60,1084509609,19149,1084509612,1,3,0,1,1,192.168.101.1,22,49395,0,49395,39965,345808,9428,345808,0,0,0,1,1,1.57E+12,1.57E+12,91756.886,33.058,71.066,91722.943,91719.178,32.726,63.424,1,1,0,0,0,0,0,30.790444,30.104,73.702,1.38041,2811,64,64,11.796429,0.004,45.673,2.73663,9375,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,65160,16,64256,64128,0,2086192,16,32,0,0,0,0,1,0,0,0,0,1,1,7,1,0,1460,1100,28,3145728,64128,0,1100,28,32,0,0,0,0,0,0,0,0,0,0,0,---,2870,9428,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,226.4461751,94.55504948
192.168.100.1,34940,20421,0,20420,81,1176987914,20338,1176987916,1,2,0,1,1,192.168.101.1,22,52131,0,52131,41905,381304,10224,381304,0,0,0,1,1,1.57E+12,1.57E+12,98694.83,32.603,70.251,98661.442,98657.895,32.3,63.045,1,1,0,0,0,0,0,30.815283,30.093,73.803,1.326838,3063,64,64,11.894801,0.008,46.014,2.406342,10132,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,65160,16,64256,64128,0,2094520,16,32,0,0,0,0,1,0,0,0,0,1,1,7,1,0,1460,3276,28,3145728,64128,0,3276,28,32,0,0,0,0,0,0,0,0,0,0,0,---,2791,10224,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,227.0390093,95.40422055
192.168.100.1,35062,18761,0,18760,68,1059287963,18691,1059287964,1,1,0,1,1,192.168.101.1,22,47335,0,47335,38123,339148,9210,339148,0,0,0,1,1,1.57E+12,1.57E+12,89117.998,32.789,70.567,89083.158,89081.218,32.447,63.271,1,1,0,0,0,0,0,30.846766,30.096,72.286,1.430659,2598,64,64,11.781464,0.004,46.163,2.719825,9144,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,65160,16,64256,63616,0,2074580,16,32,0,0,0,0,1,0,0,0,0,1,1,7,1,0,1460,2896,28,3145728,61312,0,2896,28,32,0,0,0,0,0,0,0,0,0,0,0,---,2835,9209,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,229.5968791,95.09082231
192.168.100.1,35180,20557,0,20556,79,1189598474,20476,1189598476,1,2,0,1,1,192.168.101.1,22,50759,0,50759,40417,381952,10340,381952,0,0,0,1,1,1.57E+12,1.57E+12,99774.672,32.317,70.52,99740.318,99739.567,31.96,62.791,1,1,0,0,0,0,0,30.865061,30.12,73.374,1.275333,3482,64,64,11.901998,0.005,46.603,2.382553,10256,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,65160,16,64256,64128,0,2068920,16,32,0,0,0,0,1,0,0,0,0,1,1,7,1,0,1460,2988,28,3145728,64128,0,2988,28,32,0,0,0,0,0,0,0,0,0,0,0,---,2674,10340,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,225.5752719,95.38280224
192.168.100.1,35302,19130,0,19129,52,1168580874,19076,1168580876,1,2,0,1,1,192.168.101.1,22,51467,0,51467,41292,371728,10173,371728,0,0,0,1,1,1.57E+12,1.57E+12,97983.618,32.887,71.497,97949.345,97948.81,32.572,63.309,1,1,0,0,0,0,0,30.845314,30.122,73.642,1.350433,3146,64,64,12.1439,0.008,46.577,1.817542,10123,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,65160,16,64256,64128,0,2068920,16,32,0,0,0,0,1,0,0,0,0,1,1,7,1,0,1460,1100,28,3145728,64128,0,1100,28,32,0,0,0,0,0,0,0,0,0,0,0,---,1326,10173,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,224.7543521,95.41030632
192.168.100.1,35426,20629,0,20628,70,1223226240,20557,1223226240,0,0,0,1,1,192.168.101.1,22,54026,0,54026,43377,393472,10647,393472,0,0,0,1,1,1.57E+12,1.57E+12,102577.169,33.129,70.758,102543.511,102541.965,32.764,63.528,1,1,0,0,0,0,0,30.761838,30.128,72.408,1.270303,3500,64,64,12.059906,0.005,44.323,2.176591,10571,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,65160,16,64256,64128,0,2081132,16,32,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,2484,28,3145728,64128,0,2484,28,32,0,0,0,0,0,0,0,0,0,0,0,---,2148,10647,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,229.93393,95.39949304
192.168.100.1,35550,18438,0,18437,69,1050880814,18367,1050880816,1,2,0,1,1,192.168.101.1,22,42832,0,42832,33698,334504,9132,334504,0,0,0,1,1,1.57E+12,1.57E+12,88844.745,32.487,70.601,88811.073,88810.507,32.205,62.977,1,1,0,0,0,0,0,30.856025,30.155,73.758,1.166864,3967,64,64,11.797069,0.007,45.663,2.583384,9069,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,65160,16,64256,64128,0,2088728,16,32,0,0,0,0,1,0,0,0,0,1,1,7,1,0,1460,1080,28,3144960,61312,0,1080,28,32,0,0,0,0,0,0,0,0,0,0,0,---,2639,9132,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,226.5493099,94.62626662
192.168.100.1,35638,20956,0,20955,52,1261058315,20902,1261058316,1,1,0,1,1,192.168.101.1,22,50889,0,50889,39920,401176,10967,401176,0,0,0,1,1,1.57E+12,1.57E+12,105750.85,33.065,71.073,105716.896,105716.298,32.753,63.429,1,1,0,0,0,0,0,30.844969,30.121,74.231,1.098925,4743,64,64,12.02261,0.006,46.503,1.99382,10923,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,65160,16,64256,64128,0,2068920,16,32,0,0,0,0,1,0,0,0,0,1,1,7,1,0,1460,1100,28,3145728,64128,0,1136,28,32,0,0,0,0,0,0,0,0,0,0,0,---,1876,10967,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,222.9709959,95.39844387
192.168.100.1,35780,20404,0,20403,85,1185394956,20317,1185394956,0,0,0,1,1,192.168.101.1,22,49942,0,49942,39637,378136,10303,378136,0,0,0,1,1,1.57E+12,1.57E+12,100152.122,32.567,70.018,100118.129,100117.564,32.269,63.027,1,1,0,0,0,0,0,30.85111,30.102,71.17,1.17996,3891,64,64,11.943317,0.005,44.354,2.325786,10217,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,65160,16,64256,64128,0,2080996,16,32,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1100,28,3145216,61312,0,1100,28,32,0,0,0,0,0,0,0,0,0,0,0,---,2492,10303,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,233.9183364,94.68755588
