#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,TCPWindowsize(CU*8(bits)),roundtrip(AZ/1000=s),AttemptedThroughput(Mbps),ActualThroughput(Mbps)
192.168.100.1,56628,836454,0,836453,836451,130,1,130,0,0,0,1,1,192.168.100.2,80,169831,0,169831,1,10737418499,169828,10737489466,28,70967,0,1,1,1.60384E+12,1.60384E+12,165621.376,42.811,45.517,42.811,165516.741,42.804,42.831,1,1,0,0,1,0,1,0.076997,0.02,0.185,0.093579,3,54,54,48.124941,42.424,77.133,3.123629,10507,64,64,0,0,0,0,0,0,1,1,13,1,1771,8960,130,130,23937024,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,14,0,0,14,0,0,0,0,1,1,200,1,89,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.048124941,694.4390851,518.6523491
192.168.100.1,56762,789124,0,789123,789121,130,1,130,0,0,0,1,1,192.168.100.2,80,165330,0,165330,1,10736636581,165327,10736682930,15,46349,0,1,1,1.60384E+12,1.60384E+12,164119.665,42.888,43.585,42.888,164008.385,42.882,42.909,1,1,0,0,1,0,1,0.074331,0.021,0.175,0.087231,3,54,54,49.725648,42.682,77.088,3.584914,3721,64,64,0,0,0,0,0,0,1,1,13,1,2364,8960,130,130,30892032,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,7,0,0,8,0,0,0,0,1,1,200,1,295,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.049725648,672.0845548,523.3587544
192.168.100.1,56902,713235,0,713234,713232,130,1,130,0,0,0,1,1,192.168.100.2,80,213465,0,213465,1,10737418499,213462,10737480778,20,62279,0,1,1,1.60384E+12,1.60384E+12,181669.251,42.992,43.531,42.992,181568.287,42.986,43.023,1,1,0,0,1,0,1,0.072664,0.02,0.167,0.08188,3,54,54,43.822507,42.35,65.528,1.689765,35960,64,64,0,0,0,0,0,0,1,1,13,1,3935,8960,130,130,12795904,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1152,30080,28960,0,4177480,2896,14480,0,1,0,0,19,0,0,0,0,1,1,200,1,239,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.043822507,762.6181679,472.8364638
192.168.100.1,57120,730168,0,730167,730165,130,1,130,0,0,0,1,1,192.168.100.2,80,165396,0,165396,1,10737418501,165393,10737464850,15,46349,0,1,1,1.60384E+12,1.60384E+12,163686.641,42.833,44.126,42.833,163584.608,42.827,42.848,1,1,0,0,1,0,1,0.071664,0.015,0.184,0.097285,3,54,54,50.211168,42.584,69.187,3.964357,2494,64,64,0,0,0,0,0,0,1,1,13,1,319,8960,130,130,8437760,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,5,0,0,10,0,0,0,0,1,1,200,1,952,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.050211168,665.5857916,524.7814866
192.168.100.1,57300,762697,0,762696,762694,130,1,130,0,0,0,1,1,192.168.100.2,80,165779,0,165779,1,10737418499,165776,10737466298,11,47799,0,1,1,1.60384E+12,1.60384E+12,163931.732,42.894,43.4,42.894,163823.187,42.888,42.909,1,1,0,0,1,0,1,0.055665,0.015,0.136,0.069573,3,54,54,49.681005,42.539,68.361,3.615981,3835,64,64,0,0,0,0,0,0,1,1,13,1,284,8960,130,130,18546688,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,1,0,0,10,0,0,0,0,1,1,200,1,172,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.049681005,672.6884853,523.9969671
192.168.100.1,57450,766977,0,766976,766974,130,1,130,0,0,0,1,1,192.168.100.2,80,171103,0,171103,1,10736934865,171100,10736988458,14,53593,0,1,1,1.60384E+12,1.60384E+12,165449.953,42.963,43.415,42.963,165346.794,42.957,42.984,1,1,0,0,1,0,1,0.096997,0.018,0.252,0.134242,3,54,54,46.362362,42.36,61.848,3.412162,10326,64,64,0,0,0,0,0,0,1,1,13,1,1594,8960,130,130,16228352,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,0,0,0,14,0,0,0,0,1,1,200,1,574,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.046362362,720.8398916,519.1655005
192.168.100.1,57680,808156,0,808155,808153,130,1,130,0,0,0,1,1,192.168.100.2,80,166292,0,166292,1,10737418499,166289,10737466298,11,47799,0,1,1,1.60384E+12,1.60384E+12,164510.382,42.859,43.513,42.859,164398.711,42.852,42.877,1,1,0,0,1,0,1,0.296323,0.017,0.854,0.482954,3,54,54,49.476411,42.545,82.379,3.301048,5116,64,64,0,0,0,0,0,0,1,1,13,1,420,8960,130,130,32112640,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,1,0,0,10,0,0,0,0,1,1,200,1,500,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.049476411,675.4701751,522.1538564
192.168.100.1,57790,773554,0,773553,773551,130,1,130,0,0,0,1,1,192.168.100.2,80,171495,0,171495,1,10737418499,171492,10737430098,14,11599,0,1,1,1.60384E+12,1.60384E+12,165954.195,43.009,44.755,43.009,165854.68,43.003,43.026,1,1,0,0,1,0,1,0.050998,0.017,0.119,0.05889,3,54,54,46.430331,42.389,66.244,3.528408,11075,64,64,0,0,0,0,0,0,1,1,13,1,1886,8960,130,130,26509312,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,0,0,0,14,0,0,0,0,1,1,200,1,127,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.046430331,719.7846597,517.6093366
192.168.100.1,57958,1046936,0,1046935,1046933,130,1,130,0,0,0,1,1,192.168.100.2,80,165213,0,165213,1,10736853781,165210,10736897234,23,43453,0,1,1,1.60384E+12,1.60384E+12,163988.956,43.206,43.8,43.206,163888.165,43.199,43.231,1,1,0,0,1,0,1,0.065664,0.025,0.141,0.06531,3,54,54,49.057023,42.639,60.201,3.722932,2874,64,64,0,0,0,0,0,0,1,1,13,1,512,8960,130,130,23429120,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,16,0,0,7,0,0,0,0,1,1,200,1,362,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.049057023,681.2447629,523.7863571
192.168.100.1,58110,833719,0,833718,833716,130,1,130,0,0,0,1,1,192.168.100.2,80,169080,0,169080,1,10736257203,169077,10736274594,17,17391,0,1,1,1.60384E+12,1.60384E+12,165097.501,42.929,43.539,42.929,164998.449,42.923,42.945,1,1,0,0,1,0,1,0.051998,0.016,0.123,0.06149,3,54,54,48.909229,42.397,86.802,3.194979,7505,64,64,0,0,0,0,0,0,1,1,13,1,3843,8960,130,130,27574272,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1152,30080,28960,0,4177480,2896,14480,0,3,0,0,14,0,0,0,0,1,1,200,1,673,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.048909229,683.3033496,520.2392297
