#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,DeclaredThroughput,Actualthroughput
192.168.100.1,37576,399679,0,399678,128,1125320773,399549,1136542980,5088,11222207,0,1,1,192.168.101.1,22,117827,0,117827,109233,314380,8592,314380,0,0,82,1,1,1.56559E+12,1.56559E+12,687287.036,32.471,70.109,687252.564,687251.879,32.122,62.842,1,1,0,0,0,0,0,30.549769,30.022,73.484,0.4617,85843,64,64,12.125152,0.003,45.583,11.610687,8404,63,63,0,0,0,0,0,0,1,1,7,1,1691,1460,31856,12,64256,64128,0,1097584,16,32,108,1122,0,0,3858,0,0,0,0,1,1,7,1,7959,1460,1100,28,3145728,54656,0,1136,28,32,80,2,0,0,0,0,0,0,0,0,0,---,18,8510,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,119.4909368,13.2293254
192.168.100.1,38778,409412,0,409411,139,1154708444,409271,1165902584,5033,11194140,0,1,1,192.168.101.1,22,117333,0,117333,108513,321724,8818,321724,0,0,88,1,1,1.56559E+12,1.56559E+12,692126.472,34.182,72.355,692091.619,692090.796,33.861,64.949,1,1,0,0,0,0,0,30.541549,30.04,74.142,0.376944,85335,64,64,12.691439,0.004,46.916,11.493837,8622,63,63,0,0,0,0,0,0,1,1,7,1,1546,1460,21720,12,64256,64128,0,728344,16,32,49,1110,0,0,3874,0,0,0,0,1,1,7,1,7672,1460,1100,28,3145728,59904,0,1100,28,32,86,2,0,0,0,0,0,0,0,0,0,---,20,8730,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,78.58908581,13.47617964
192.168.100.1,39980,375904,0,375903,114,1053931217,375788,1064616664,4770,10685447,0,1,1,192.168.101.1,22,101415,0,101415,93368,292600,8045,292636,1,36,75,1,1,1.56559E+12,1.56559E+12,638618.285,32.993,70.896,638584.038,638583.456,32.617,63.548,1,1,0,0,0,0,0,30.586558,30.097,135.002,0.577825,73318,64,64,13.461076,0.003,46.589,11.539857,7882,63,63,0,0,0,0,0,0,1,1,7,1,1601,1460,10136,12,64256,64128,0,360552,16,32,174,1044,0,0,3552,0,0,0,0,1,1,7,1,7008,1460,1080,28,1519616,64128,0,1080,28,32,74,2,0,0,0,0,0,0,0,0,0,---,12,7969,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,21.36572792,13.33650087
192.168.100.1,41086,391790,0,391789,121,1091722928,391667,1103698868,5430,11975940,0,1,1,192.168.101.1,22,110866,0,110866,102525,304408,8339,304480,2,72,79,1,1,1.56559E+12,1.56559E+12,699409.935,33.093,70.955,699374.45,699373.947,32.7,63.537,1,1,0,0,0,0,0,30.55735,30.085,73.052,0.468763,80659,64,64,13.353749,0.003,47.753,11.688498,8163,63,63,0,0,0,0,0,0,1,1,7,1,1435,1460,10136,12,64256,64128,0,308424,16,32,131,1208,0,0,4091,0,0,0,0,1,1,7,1,7946,1460,1100,28,823680,64128,0,1136,28,32,78,3,0,0,0,0,0,0,0,0,0,---,19,8258,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33.77583091,12.62434304
192.168.100.1,42304,415560,0,415559,135,1163104429,415423,1174875744,5296,11771315,0,1,1,192.168.101.1,22,115859,0,115859,106981,324244,8876,324288,1,44,90,1,1,1.56559E+12,1.56559E+12,697614.195,32.911,72.092,697580.168,697579.552,32.518,63.744,1,1,0,0,0,0,0,30.553673,30.039,73.441,0.431159,83295,64,64,13.203182,0.004,47.013,11.730025,8684,63,63,0,0,0,0,0,0,1,1,7,1,1853,1460,14480,12,64256,64128,0,479288,16,32,119,1124,0,0,4053,0,0,0,0,1,1,7,1,7766,1460,1100,28,1219968,64128,0,1100,28,32,87,3,0,0,0,0,1,0,0,0,0,---,22,8785,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,52.20931088,13.47307153
192.168.100.1,43514,414018,0,414017,140,1171509814,413876,1183336216,5302,11826402,0,1,1,192.168.101.1,22,121142,0,121142,112186,326692,8954,326692,0,0,97,1,1,1.56559E+12,1.56559E+12,710252.909,32.659,69.842,710217.567,710216.222,32.352,63.259,1,1,0,0,0,0,0,30.515324,30.044,74.854,0.427396,87369,64,64,12.76351,0.004,44.587,11.537926,8740,63,63,0,0,0,0,0,0,1,1,7,1,1690,1460,30408,16,64256,64128,0,1044008,16,32,122,1151,0,0,4029,0,0,0,0,1,1,7,1,8127,1460,1100,28,3145728,64128,0,1100,28,32,91,6,0,0,0,0,0,0,0,0,0,---,20,8857,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,111.5780586,13.32861803
192.168.100.1,44740,434368,0,434367,134,1217690286,434232,1230000536,5355,12310250,0,1,1,192.168.101.1,22,114197,0,114197,104897,339184,9298,339184,0,0,91,1,1,1.56559E+12,1.56559E+12,704819.872,33.06,70.963,704780.11,704779.502,32.749,63.832,1,1,0,0,0,0,0,30.584434,30.052,137.344,0.560225,81729,64,64,13.874079,0.003,44.856,11.700391,9102,63,63,0,0,0,0,0,0,1,1,7,1,1833,1460,8688,12,64256,64000,0,324352,16,32,111,1039,0,0,4205,0,0,0,0,1,1,7,1,7122,1460,1100,28,1270400,64128,0,1100,28,32,88,3,0,0,0,0,0,0,0,0,0,---,21,9207,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,18.89282386,13.96101994
192.168.100.1,45966,435405,0,435404,146,1221889200,435257,1233924484,5367,12035284,0,1,1,192.168.101.1,22,120879,0,120879,111553,340588,9324,340588,0,0,96,1,1,1.56559E+12,1.5656E+12,705893.321,32.954,72.176,705856.788,705856.279,32.619,63.494,1,1,0,0,0,0,0,30.534616,30.07,74.01,0.42728,87050,64,64,12.867701,0.004,45.507,11.857547,9114,63,63,0,0,0,0,0,0,1,1,7,1,1780,1460,10136,12,64256,64128,0,338832,16,32,132,1183,0,0,4052,0,0,0,0,1,1,7,1,7759,1460,1100,28,1430656,64128,0,1136,28,32,93,3,0,0,0,0,0,0,0,0,0,---,24,9228,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,36.62553709,13.9842602
192.168.100.1,47192,412376,0,412375,137,1158905733,412237,1171008264,5429,12102531,0,1,1,192.168.101.1,22,115742,0,115742,106895,324208,8845,324244,1,36,93,1,1,1.5656E+12,1.5656E+12,700734.537,33.052,70.552,700698.165,700697.595,32.782,63.499,1,1,0,0,0,0,0,30.556889,30.026,115.95,0.530565,84041,64,64,13.062758,0.003,46.229,11.443029,8643,63,63,0,0,0,0,0,0,1,1,7,1,1857,1460,14480,12,64256,64000,0,483632,16,32,136,1085,0,0,4207,0,1,0,0,1,1,7,1,7713,1460,1368,28,1602816,64128,0,1368,28,32,91,3,0,0,0,0,0,0,0,0,0,---,12,8751,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33.36831393,13.36892306
192.168.100.1,48424,398731,0,398730,130,1116916399,398599,1127949200,4989,11032801,0,1,1,192.168.101.1,22,113652,0,113652,105119,311500,8531,311500,0,0,83,1,1,1.5656E+12,1.5656E+12,677002.684,32.889,71.229,676968.569,676967.378,32.507,63.812,1,1,0,0,0,0,0,30.551013,30.093,74.502,0.397526,84183,64,64,13.000855,0.004,45.952,11.511665,8347,63,63,0,0,0,0,0,0,1,1,7,1,1595,1460,8688,12,64256,64128,0,321456,16,32,74,1108,0,0,3807,0,0,0,0,1,1,7,1,7450,1460,1100,28,1056640,64128,0,1100,28,32,81,2,0,0,0,0,0,0,0,0,0,---,19,8448,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,34.51783845,13.32874125
