#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,DeclaredThroughput,Actualthroughput
192.168.100.1,57986,18183,0,18182,154,1063491482,18027,1063491484,1,2,0,1,1,192.168.101.1,22,45254,0,45254,36004,346636,9248,346636,0,0,0,1,1,1.56582E+12,1.56582E+12,89269.183,32.959,71.911,89229.875,89229.322,32.636,64.07,1,1,0,0,0,0,0,30.719939,30.065,71.583,1.093778,4340,64,64,11.953656,0.006,45.127,2.286429,9186,63,63,0,0,0,0,0,0,1,1,7,1,96,1460,65160,16,64256,62848,0,2082444,16,32,0,0,0,0,1,0,0,0,0,1,1,7,1,1472,1460,3240,28,3145728,64128,0,3240,28,32,0,0,0,0,0,0,0,0,0,0,0,---,1950,9248,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,232.7305645,95.306483
192.168.100.1,58156,18403,0,18402,142,1076103685,18259,1076103688,1,3,0,1,1,192.168.101.1,22,44363,0,44363,34992,344008,9369,344008,0,0,0,1,1,1.56582E+12,1.56582E+12,90334.952,32.303,70.718,90301.058,90300.613,32.037,62.693,1,1,0,0,0,0,0,30.815684,30.1,72.88,1.12292,4359,64,64,11.871746,0.007,47.002,2.367365,9322,63,63,0,0,0,0,0,0,1,1,7,1,80,1460,65160,16,64256,64128,0,2073076,16,32,0,0,0,0,1,0,0,0,0,1,1,7,1,1170,1460,1100,28,3145728,64128,0,1100,28,32,0,0,0,0,0,0,0,0,0,0,0,---,1104,9369,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,227.560483,95.29898797
192.168.100.1,58350,20511,0,20510,171,1202209285,20338,1202209288,1,3,0,1,1,192.168.101.1,22,54348,0,54348,43885,383680,10461,383680,0,0,0,1,1,1.56582E+12,1.56582E+12,102056.646,32.626,70.979,102022.124,102021.475,32.257,63.249,1,1,0,0,0,0,0,30.767327,30.114,74.368,1.314709,3189,64,64,11.952339,0.005,45.288,2.263471,10385,63,63,0,0,0,0,0,0,1,1,7,1,99,1460,65160,16,64256,64128,0,2087772,16,32,0,0,0,0,1,0,0,0,0,1,1,7,1,1617,1460,1100,28,3145728,64128,0,1100,28,32,0,0,0,0,0,0,0,0,0,0,0,---,1112,10461,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,224.58821,94.23858887
192.168.100.1,58544,19242,0,19241,141,1092917765,19099,1092917768,1,3,0,1,1,192.168.101.1,22,49719,0,49719,40206,348760,9511,348760,0,0,0,1,1,1.56582E+12,1.56582E+12,92407.669,37.907,76.681,92373.742,92373.264,37.593,68.363,1,1,0,0,0,0,0,30.734801,30.039,74.03,1.275158,3468,64,64,11.85493,0.005,49.477,2.654787,9461,63,63,0,0,0,0,0,0,1,1,7,1,86,1460,65160,16,64256,64128,0,2085340,16,32,0,0,0,0,1,0,0,0,0,1,1,7,1,1399,1460,1100,28,3145728,64128,0,1100,28,32,0,0,0,0,0,0,0,0,0,0,0,---,1756,9511,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,225.3508037,94.61706197
192.168.100.1,58738,20654,0,20653,155,1210616184,20497,1210616184,0,0,0,1,1,192.168.101.1,22,49584,0,49584,39043,385336,10539,385336,0,0,0,1,1,1.56582E+12,1.56583E+12,102093.907,32.714,70.772,102054.86,102054.216,32.369,63.045,1,1,0,0,0,0,0,30.721959,30.066,74.404,1.022682,5309,64,64,11.953728,0.006,47.916,2.274495,10485,63,63,0,0,0,0,0,0,1,1,7,1,94,1460,65160,16,64256,64128,0,2075060,16,32,0,0,0,0,0,0,0,0,0,1,1,7,1,1374,1460,1100,28,3145728,64128,0,1100,28,32,0,0,0,0,0,0,0,0,0,0,0,---,2143,10539,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,223.1127359,94.86295271
192.168.100.1,58932,18884,0,18883,167,1118139030,18715,1118139032,1,2,0,1,1,192.168.101.1,22,48104,0,48104,38348,358732,9754,358732,0,0,0,1,1,1.56583E+12,1.56583E+12,93807.02,33,70.861,93758.829,93758.219,32.674,63.682,1,1,0,0,0,0,0,30.786039,30.097,74.216,1.168535,4115,64,64,11.950848,0.005,47.907,2.173603,9676,63,63,0,0,0,0,0,0,1,1,7,1,104,1460,65160,16,64256,64128,0,2091624,16,32,0,0,0,0,1,0,0,0,0,1,1,7,1,1338,1460,1100,28,3145728,64128,0,1692,28,32,0,0,0,0,0,0,0,0,0,0,0,---,1727,9754,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,225.4634041,95.35653362
192.168.100.1,59106,19120,0,19119,185,1105528398,18933,1105528400,1,2,0,1,1,192.168.101.1,22,47658,0,47658,38032,354232,9624,354232,0,0,0,1,1,1.56583E+12,1.56583E+12,93321.987,32.19,70.941,93287.859,93287.419,31.893,62.67,1,1,0,0,0,0,0,30.76197,30.015,74.868,1.234999,3986,64,64,11.858935,0.004,46.373,2.445898,9552,63,63,0,0,0,0,0,0,1,1,7,1,109,1460,65160,16,64256,64128,0,2068920,16,32,0,0,0,0,1,0,0,0,0,1,1,7,1,1675,1460,1100,28,3145728,64128,0,1136,28,32,0,0,0,0,0,0,0,0,0,0,0,---,2143,9624,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,221.07389,94.77109826
192.168.100.1,59296,21383,0,21382,184,1227430370,21197,1227430372,1,2,0,1,1,192.168.101.1,22,54004,0,54004,43305,394840,10697,394840,0,0,0,1,1,1.56583E+12,1.56583E+12,103487.917,32.959,70.852,103449.406,103448.897,32.598,63.318,1,1,0,0,0,0,0,30.778021,30.061,73.602,1.165365,4025,64,64,11.866189,0.006,46.895,2.457312,10601,63,63,0,0,0,0,0,0,1,1,7,1,105,1460,65160,16,64256,64000,0,2093072,16,32,0,0,0,0,1,0,0,0,0,1,1,7,1,1480,1460,2520,28,3145600,64128,0,2520,28,32,0,0,0,0,0,0,0,0,0,0,0,---,2647,10697,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,227.501644,94.88492242
192.168.100.1,59498,20299,0,20298,156,1172784718,20141,1172784720,1,2,0,1,1,192.168.101.1,22,50438,0,50438,40234,373852,10202,373852,0,0,0,1,1,1.56583E+12,1.56583E+12,99135.176,34.736,74.717,99100.233,99099.775,34.421,65.866,1,1,0,0,0,0,0,30.79876,30.024,76.271,1.127779,4412,64,64,11.826855,0.005,47.778,2.442825,10144,63,63,0,0,0,0,0,0,1,1,7,1,96,1460,65160,16,64256,64128,0,2068920,16,32,0,0,0,0,1,0,0,0,0,1,1,7,1,1645,1460,1100,28,3145728,62976,0,1100,28,32,0,0,0,0,0,0,0,0,0,0,0,---,2375,10202,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,217.0072505,94.64125791
192.168.100.1,59696,19883,0,19882,155,1164377606,19726,1164377608,1,2,0,1,1,192.168.101.1,22,53368,0,53368,43230,376408,10136,376408,0,0,0,1,1,1.56583E+12,1.56583E+12,97868.526,33.266,71.776,97834.297,97833.859,32.95,63.626,1,1,0,0,0,0,0,30.674567,30.089,76.791,1.320393,3376,64,64,12.02945,0.004,45.03,2.318287,10086,63,63,0,0,0,0,0,0,1,1,7,1,103,1460,65160,16,64256,64128,0,2101760,16,32,0,0,0,0,1,0,0,0,0,1,1,7,1,1591,1460,3132,28,3145728,64128,0,3132,28,32,0,0,0,0,0,0,0,0,0,0,0,---,2091,10136,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,218.9589926,95.17892263
